SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NIFTYPHARMA,20180215,9215.70,9327.70,9186.55,9207.50,17518332,0
NIFTYPHARMA,20180216,9231.85,9262.15,9141.05,9180.90,12431151,0
NIFTYPHARMA,20180219,9188.30,9198.65,8941.90,9027.90,10480909,0
NIFTYPHARMA,20180220,9054.45,9086.50,8982.10,9020.75,9167223,0
NIFTYPHARMA,20180221,9054.50,9073.50,8753.55,8843.40,31143995,0
NIFTYPHARMA,20180222,8832.70,8901.45,8787.05,8861.75,31118452,0
NIFTYPHARMA,20180223,8924.30,9124.70,8909.80,9095.40,43212988,0
NIFTYPHARMA,20180226,9091.75,9097.85,9016.70,9065.10,16516821,0
NIFTYPHARMA,20180227,9081.50,9146.60,9002.55,9023.45,13167827,0
NIFTYPHARMA,20180228,8995.00,9093.05,8938.95,8960.25,16220954,0
NIFTYPHARMA,20180301,8966.40,9003.90,8905.20,8917.75,12977997,0
NIFTYPHARMA,20180305,8888.85,8905.55,8770.80,8855.80,22779601,0
NIFTYPHARMA,20180306,8945.85,8955.60,8723.80,8749.55,22185033,0
NIFTYPHARMA,20180307,8753.60,8756.30,8600.95,8615.00,15401408,0
NIFTYPHARMA,20180308,8672.65,8696.55,8499.85,8586.35,16836972,0
NIFTYPHARMA,20180309,8611.55,8688.00,8491.50,8515.70,-,0
NIFTYPHARMA,20180312,8582.90,8618.15,8492.70,8600.70,11621098,0
NIFTYPHARMA,20180313,8594.40,8739.80,8593.20,8712.10,11753433,0
NIFTYPHARMA,20180314,8709.70,8726.80,8656.70,8701.55,7528558,0
NIFTYPHARMA,20180315,8708.25,8796.10,8644.85,8670.55,8843204,0
NIFTYPHARMA,20180316,8639.80,8738.30,8528.70,8546.80,19431956,0
NIFTYPHARMA,20180319,8606.25,8618.15,8490.40,8512.90,11977410,0
NIFTYPHARMA,20180320,8471.85,8601.20,8395.30,8578.70,19206025,0
NIFTYPHARMA,20180321,8639.20,8674.10,8505.50,8525.45,-,0
NIFTYPHARMA,20180322,8590.15,8625.70,8459.00,8474.00,14896837,0
NIFTYPHARMA,20180323,8378.20,8406.05,8280.45,8327.40,13137646,0
NIFTYPHARMA,20180326,8323.25,8406.25,8282.05,8390.50,15534378,0
NIFTYPHARMA,20180327,8422.30,8491.70,8417.70,8452.50,13667974,0
NIFTYPHARMA,20180328,8445.30,8456.70,8332.15,8358.05,24460028,0
NIFTYPHARMA,20180402,8424.40,8637.40,8385.30,8620.85,-,0
NIFTYPHARMA,20180403,8583.10,8701.55,8568.55,8664.70,-,0
NIFTYPHARMA,20180404,8716.35,8732.05,8545.65,8569.50,13686740,0
NIFTYPHARMA,20180405,8637.55,8732.95,8621.15,8655.65,11205688,0
NIFTYPHARMA,20180406,8657.95,8808.55,8643.90,8772.40,17633926,0
NIFTYPHARMA,20180409,8785.85,8841.55,8721.05,8738.15,-,0
NIFTYPHARMA,20180410,8763.20,8816.80,8698.75,8719.60,11657255,0
NIFTYPHARMA,20180411,8752.95,8789.25,8691.65,8761.80,13136133,0
NIFTYPHARMA,20180412,8752.60,8752.60,8669.20,8685.05,13901163,0
NIFTYPHARMA,20180413,8694.70,8787.10,8678.05,8730.60,11270888,0
NIFTYPHARMA,20180416,8707.90,8877.10,8696.25,8867.20,18147927,0
NIFTYPHARMA,20180417,8890.60,8893.95,8803.45,8827.75,12894421,0
NIFTYPHARMA,20180418,8858.75,8904.10,8772.80,8790.00,-,0
NIFTYPHARMA,20180419,8833.15,8848.15,8768.90,8829.75,11081606,0
NIFTYPHARMA,20180420,8813.40,8846.35,8769.35,8819.80,12865608,0
