SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NIFTYPSE,19980923,-,-,-,558.37,-,0,0
NIFTYPSE,19980924,-,-,-,569.98,-,0,0
NIFTYPSE,19980925,-,-,-,566.51,-,0,0
NIFTYPSE,19980928,-,-,-,563.00,-,0,0
NIFTYPSE,19980929,-,-,-,546.79,-,0,0
NIFTYPSE,19980930,-,-,-,541.54,-,0,0
NIFTYPSE,19981005,-,-,-,512.27,-,0,0
NIFTYPSE,19981006,-,-,-,511.50,-,0,0
NIFTYPSE,19981007,-,-,-,522.44,-,0,0
NIFTYPSE,19981008,-,-,-,507.17,-,0,0
NIFTYPSE,19981009,-,-,-,509.57,-,0,0
NIFTYPSE,19981012,-,-,-,499.31,-,0,0
NIFTYPSE,19981013,-,-,-,494.55,-,0,0
NIFTYPSE,19981014,-,-,-,497.38,-,0,0
NIFTYPSE,19981015,-,-,-,498.70,-,0,0
NIFTYPSE,19981016,-,-,-,499.04,-,0,0
NIFTYPSE,19981019,-,-,-,493.22,-,0,0
NIFTYPSE,19981020,-,-,-,489.81,-,0,0
NIFTYPSE,19981022,-,-,-,488.02,-,0,0
NIFTYPSE,19981023,-,-,-,489.15,-,0,0
NIFTYPSE,19981026,-,-,-,505.82,-,0,0
NIFTYPSE,19981027,-,-,-,508.14,-,0,0
NIFTYPSE,19981028,-,-,-,497.51,-,0,0
NIFTYPSE,19981029,-,-,-,500.02,-,0,0
NIFTYPSE,19981030,-,-,-,494.20,-,0,0
NIFTYPSE,19981031,-,-,-,491.81,-,0,0
NIFTYPSE,19981102,-,-,-,492.62,-,0,0
NIFTYPSE,19981103,-,-,-,490.84,-,0,0
NIFTYPSE,19981105,-,-,-,495.96,-,0,0
NIFTYPSE,19981106,-,-,-,499.49,-,0,0
NIFTYPSE,19981109,-,-,-,512.01,-,0,0
NIFTYPSE,19981110,-,-,-,512.99,-,0,0
NIFTYPSE,19981111,-,-,-,513.29,-,0,0
NIFTYPSE,19981112,-,-,-,513.89,-,0,0
NIFTYPSE,19981113,-,-,-,510.98,-,0,0
NIFTYPSE,19981116,-,-,-,507.66,-,0,0
NIFTYPSE,19981117,-,-,-,511.25,-,0,0
NIFTYPSE,19981118,-,-,-,519.57,-,0,0
NIFTYPSE,19981119,-,-,-,517.38,-,0,0
NIFTYPSE,19981120,-,-,-,515.34,-,0,0
NIFTYPSE,19981121,-,-,-,515.85,-,0,0
NIFTYPSE,19981123,-,-,-,512.71,-,0,0
NIFTYPSE,19981124,-,-,-,510.38,-,0,0
NIFTYPSE,19981126,-,-,-,495.25,-,0,0
NIFTYPSE,19981127,-,-,-,486.54,-,0,0
NIFTYPSE,19981128,-,-,-,484.23,-,0,0
NIFTYPSE,19981130,-,-,-,488.05,-,0,0
NIFTYPSE,19981201,-,-,-,482.66,-,0,0
NIFTYPSE,19981202,-,-,-,486.51,-,0,0
NIFTYPSE,19981203,-,-,-,486.62,-,0,0
NIFTYPSE,19981204,-,-,-,488.25,-,0,0
NIFTYPSE,19981207,-,-,-,495.98,-,0,0
NIFTYPSE,19981208,-,-,-,496.50,-,0,0
NIFTYPSE,19981209,-,-,-,495.63,-,0,0
NIFTYPSE,19981210,-,-,-,495.18,-,0,0
NIFTYPSE,19981211,-,-,-,498.60,-,0,0
NIFTYPSE,19981214,-,-,-,493.15,-,0,0
NIFTYPSE,19981215,-,-,-,484.73,-,0,0
NIFTYPSE,19981216,-,-,-,483.57,-,0,0
NIFTYPSE,19981217,-,-,-,474.61,-,0,0
NIFTYPSE,19981218,-,-,-,473.34,-,0,0
NIFTYPSE,19981221,479.58,479.58,479.58,479.58,-,0,0
NIFTYPSE,19981222,-,-,-,477.50,-,0,0
NIFTYPSE,19981223,-,-,-,485.38,-,0,0
NIFTYPSE,19981224,-,-,-,488.19,-,0,0
NIFTYPSE,19981228,-,-,-,511.28,-,0,0
NIFTYPSE,19981229,-,-,-,518.77,-,0,0
NIFTYPSE,19981230,-,-,-,526.55,-,0,0
NIFTYPSE,19981231,518.88,518.88,518.88,518.88,-,0,0
NIFTYPSE,19990101,-,-,-,521.63,-,0,0
NIFTYPSE,19990104,-,-,-,518.69,-,0,0
NIFTYPSE,19990105,-,-,-,512.94,-,0,0
NIFTYPSE,19990106,-,-,-,523.14,-,0,0
NIFTYPSE,19990107,-,-,-,529.19,-,0,0
NIFTYPSE,19990108,534.45,534.45,534.45,534.45,-,0,0
NIFTYPSE,19990111,-,-,-,536.25,-,0,0
NIFTYPSE,19990112,-,-,-,524.65,-,0,0
NIFTYPSE,19990113,-,-,-,512.34,-,0,0
NIFTYPSE,19990114,-,-,-,498.65,-,0,0
NIFTYPSE,19990115,-,-,-,474.09,-,0,0
NIFTYPSE,19990118,-,-,-,476.49,-,0,0
NIFTYPSE,19990119,-,-,-,459.77,-,0,0
NIFTYPSE,19990121,-,-,-,477.59,-,0,0
NIFTYPSE,19990122,-,-,-,470.41,-,0,0
NIFTYPSE,19990125,-,-,-,464.07,-,0,0
NIFTYPSE,19990127,-,-,-,470.27,-,0,0
NIFTYPSE,19990128,-,-,-,460.73,-,0,0
NIFTYPSE,19990129,-,-,-,460.26,-,0,0
NIFTYPSE,19990201,-,-,-,453.52,-,0,0
NIFTYPSE,19990202,-,-,-,429.76,-,0,0
NIFTYPSE,19990203,-,-,-,445.45,-,0,0
NIFTYPSE,19990204,-,-,-,437.29,-,0,0
NIFTYPSE,19990205,-,-,-,424.44,-,0,0
NIFTYPSE,19990208,-,-,-,409.84,-,0,0
NIFTYPSE,19990209,-,-,-,399.09,-,0,0
NIFTYPSE,19990210,-,-,-,411.83,-,0,0
NIFTYPSE,19990211,-,-,-,417.30,-,0,0
NIFTYPSE,19990212,-,-,-,423.19,-,0,0
NIFTYPSE,19990215,-,-,-,415.16,-,0,0
NIFTYPSE,19990216,-,-,-,414.48,-,0,0
NIFTYPSE,19990217,-,-,-,422.21,-,0,0
NIFTYPSE,19990218,-,-,-,419.39,-,0,0
NIFTYPSE,19990219,-,-,-,417.74,-,0,0
NIFTYPSE,19990222,-,-,-,410.32,-,0,0
NIFTYPSE,19990223,-,-,-,400.02,-,0,0
NIFTYPSE,19990224,-,-,-,414.85,-,0,0
NIFTYPSE,19990225,-,-,-,420.72,-,0,0
NIFTYPSE,19990226,-,-,-,422.87,-,0,0
NIFTYPSE,19990227,-,-,-,413.17,-,0,0
NIFTYPSE,19990301,-,-,-,400.71,-,0,0
NIFTYPSE,19990303,-,-,-,407.67,-,0,0
NIFTYPSE,19990304,-,-,-,394.72,-,0,0
NIFTYPSE,19990305,-,-,-,394.37,-,0,0
NIFTYPSE,19990308,-,-,-,409.54,-,0,0
NIFTYPSE,19990309,-,-,-,410.90,-,0,0
NIFTYPSE,19990310,-,-,-,423.34,-,0,0
NIFTYPSE,19990311,-,-,-,408.75,-,0,0
NIFTYPSE,19990312,-,-,-,404.17,-,0,0
NIFTYPSE,19990315,-,-,-,390.37,-,0,0
NIFTYPSE,19990316,-,-,-,381.25,-,0,0
NIFTYPSE,19990317,-,-,-,394.74,-,0,0
NIFTYPSE,19990318,-,-,-,409.43,-,0,0
NIFTYPSE,19990319,-,-,-,401.75,-,0,0
NIFTYPSE,19990320,-,-,-,402.87,-,0,0
NIFTYPSE,19990322,-,-,-,409.40,-,0,0
NIFTYPSE,19990323,-,-,-,410.30,-,0,0
NIFTYPSE,19990324,-,-,-,407.95,-,0,0
NIFTYPSE,19990325,-,-,-,411.38,-,0,0
NIFTYPSE,19990326,-,-,-,399.08,-,0,0
NIFTYPSE,19990330,-,-,-,389.07,-,0,0
NIFTYPSE,19990331,-,-,-,399.41,-,0,0
NIFTYPSE,19990401,-,-,-,393.86,-,0,0
NIFTYPSE,19990405,-,-,-,375.54,-,0,0
NIFTYPSE,19990406,-,-,-,370.63,-,0,0
NIFTYPSE,19990407,-,-,-,375.51,-,0,0
NIFTYPSE,19990408,-,-,-,370.05,-,0,0
NIFTYPSE,19990409,-,-,-,360.30,-,0,0
NIFTYPSE,19990412,-,-,-,356.65,-,0,0
NIFTYPSE,19990413,-,-,-,348.38,-,0,0
NIFTYPSE,19990415,-,-,-,342.04,-,0,0
NIFTYPSE,19990416,367.25,367.39,367.25,367.39,-,0,0
NIFTYPSE,19990417,-,-,-,342.92,-,0,0
